"","Geneid","E4_cpm","E5_cpm","E6_cpm","CPM_mean_E46","L4_CPM","L5_CPM","L6_CPM","CPM_mean_UN46"
"102","slc31a1",646.755605350778,574.929540963426,485.966504652784,569.217216988996,122.493184177369,146.203567889212,92.5622765416442,120.419676202742
"103","aldh2.1",955.767084856179,950.711069357608,1031.29551879998,979.257891004589,32.8808993199061,37.3187678540741,35.5682751642133,35.2559807793978
"104","aldh2.2",1619.59964039015,1639.02296802618,1855.81276804923,1704.81179215519,57.1865474882753,63.1002005845378,60.7768585330246,60.3545355352792
"105","ugt2a5",135.260287958943,95.2411804723185,106.975477408808,112.492315280023,3.95080573223678,3.57062285023548,4.17526972360138,3.89889943535788
"106","ugt2a1",512.39885972957,501.473970650167,514.930490873305,509.601107084347,16.0581136213495,19.9263791319593,14.2053349618769,16.7299425717286
"107","ugt2a2",50.056245510524,37.4971654410574,40.8501503770544,42.8011871095453,1.5111376763855,1.42057038127648,1.27141672034478,1.40104159266892
"108","ugt2a3",349.219113534612,296.575852797305,282.740422091351,309.511796141089,8.77552240985313,8.96495091967727,5.76061649835228,7.83369660929423
"109","ugt2a4",9.75825724753898,8.66565162460721,11.4762964269986,9.96673509971493,0.273097170431114,0.42233173497409,0.266840546245201,0.320756483883468
"110","dnajc25",111.49712447651,56.5292040558489,61.2069142773257,76.4110809365615,8.99400014619802,6.9492767300282,5.21123890314158,7.05150525978927
"111","keap1b",217.482640692836,196.880365415141,222.011686831817,212.124897646598,8.39318637124957,8.8497695374116,8.31914644176215,8.52070078347444
"112","hmox1b",1513.61412417382,1945.64125822022,1656.95860793617,1705.4046634434,49.3031425018304,68.4561348598911,45.8965739541746,54.551950438632
"113","abcc4",594.350149762142,276.24801580874,279.803036696346,383.467067422409,25.3980368500936,13.3802372398609,11.5997155103061,16.7926632000869
"114","cyp27a2",553.690744564063,573.795717386375,494.30048182001,540.595647923483,27.0184133946515,36.4933012811702,23.0110729879685,28.8409292212634
"115","cyp20a1",662.838658962462,405.260941397519,632.972396979575,567.023999113185,19.043976018063,13.7641751807465,17.2347599868959,16.6809703952351
"116","nfe2l2b",22.5885584433773,17.4932780459361,21.7913009536461,20.6243791476532,0.98314981355201,1.15181382265661,0.643556611532544,0.926173415913721
"117","slc15a1b",5.9633794290516,0.64789918688652,284.721449450774,97.1109093555707,0.801085033264601,0.115181382265661,50.1503261913775,17.0221975356359
"118","aldh1l1",6431.05294306328,26700.249441187,12162.8248739708,15098.042419407,184.449828909174,995.723852789593,323.944423141674,501.37270161348
"119","slco2a1",877.158901473226,669.036897858693,1037.10197830174,861.09925921122,73.0808028073661,65.3462375387182,91.165287799537,76.5307760485404
"120","dnajc6",19.1550975599839,26.4018918656257,18.1708026760811,21.2425973672302,0.801085033264601,1.67013004285208,1.22432721218386,1.23184742943351
"121","akr1a1b",338.376605481791,226.683728011921,286.292609080661,283.784314191458,9.32171675071536,7.54438053840078,8.24066392816062,8.36892040575892
"122","hsd17b7",14.2759689362144,4.8592439016489,17.2144446404978,12.116552492787,0.436955472689782,0.345544146796982,0.816218141455909,0.532905920314224
"123","vdrb",31.0818564180871,19.5989504033172,33.4725312454125,28.0511126889389,2.07553849527647,1.30538899901082,2.19751038084283,1.85947929171004
"124","gpx1b",21.5043076380952,8.90861381968966,403.17322328658,144.528714914788,0.546194340862228,0.499119323151197,19.5107528813403,6.85202218178457
"125","ncoa5",190.557079028331,153.06618290194,254.391237465135,199.338166465135,7.77416611827238,6.56533878914267,8.63307649616827,7.65752713452777
"126","cyp24a1",2074.89462437486,5107.065340633,2121.54367936485,3101.16788145757,70.6411347515148,196.230681586597,63.6650150335609,110.178943790558
"127","arnt2",35.6899223405361,27.9406524344812,39.3473020354236,34.3259589368136,2.27580975359262,2.41880902757888,2.19751038084283,2.29737638733811
